date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-07-14,52,40,61,153,0.3987,0.130435,0.078431,0.007704,0.140625,0.6931,0.3412,0.3335,0.3252
2017-07-15,9,12,9,30,0.3,-0.142857,-0.1,-0.152659,-0.333333,0.7023,0.2776,0.4303,0.292
2017-07-16,10,11,14,35,0.4,-0.047619,-0.028571,-0.064004,0.0,0.6572,0.2943,0.3583,0.3473
2017-07-17,57,31,90,178,0.5056,0.295455,0.146067,0.028451,0.222222,0.6573,0.334,0.3055,0.3605
2017-07-18,55,39,71,165,0.4303,0.170213,0.09697,-0.004583,0.082192,0.7,0.338,0.3426,0.3194
2017-07-19,64,56,67,187,0.3583,0.066667,0.042781,-0.011462,0.113402,0.7141,0.349,0.3605,0.2905
2017-07-20,37,44,53,134,0.3955,-0.08642,-0.052239,-0.092956,-0.090909,0.7111,0.3035,0.3964,0.3001
2017-07-21,50,28,57,135,0.4222,0.282051,0.162963,0.083022,0.296296,0.6831,0.3773,0.2943,0.3284
2017-07-22,11,14,44,69,0.6377,-0.12,-0.043478,-0.079515,0.142857,0.6194,0.2354,0.3149,0.4497
2017-07-23,17,10,30,57,0.5263,0.259259,0.122807,0.004936,0.076923,0.6172,0.2901,0.2851,0.4248
2017-07-24,51,38,75,164,0.4573,0.146067,0.079268,-0.001558,0.130435,0.6976,0.3307,0.3323,0.337
2017-07-25,40,31,52,123,0.4228,0.126761,0.073171,-0.017998,0.181818,0.6282,0.3065,0.3245,0.3689
2017-07-26,29,26,37,92,0.4022,0.054545,0.032609,-0.015391,0.026316,0.6828,0.332,0.3474,0.3206
2017-07-27,80,48,91,219,0.4155,0.25,0.146119,0.064485,0.25,0.6735,0.3686,0.3041,0.3273
2017-07-28,49,67,69,185,0.373,-0.155172,-0.097297,-0.11183,-0.211111,0.7104,0.2951,0.407,0.2979
2017-07-29,17,28,24,69,0.3478,-0.244444,-0.15942,-0.149637,-0.321429,0.6609,0.2662,0.4159,0.3179
2017-07-30,17,16,38,71,0.5352,0.030303,0.014085,-0.024671,0.181818,0.6607,0.2926,0.3172,0.3902
2017-07-31,23,31,54,108,0.5,-0.148148,-0.074074,-0.069439,0.0,0.6662,0.2829,0.3523,0.3648
2017-08-01,33,34,73,140,0.5214,-0.014925,-0.007143,-0.080196,0.018519,0.6838,0.2765,0.3567,0.3669
2017-08-02,81,90,116,287,0.4042,-0.052632,-0.031359,-0.097022,-0.150442,0.673,0.2848,0.3818,0.3335
2017-08-03,53,62,68,183,0.3716,-0.078261,-0.04918,-0.118721,-0.308642,0.7013,0.2951,0.4139,0.291
2017-08-04,56,29,44,129,0.3411,0.317647,0.209302,0.093326,0.278689,0.7031,0.3986,0.3053,0.2961
2017-08-05,10,19,32,61,0.5246,-0.310345,-0.147541,-0.139724,-0.222222,0.6437,0.2506,0.3903,0.3591
2017-08-06,8,13,35,56,0.625,-0.238095,-0.089286,-0.065633,-0.142857,0.6272,0.2503,0.316,0.4337
